Aberdour,AUR
Achanalt,AAT
Achnasheen,ACN
Achnashellach,ACH
Addiewell,ADW
Airbles,AIR
Airdrie,ADR
Alexandra Parade,AXP
Alexandria,ALX
Alloa,ALO
Alness,ASS
Altnabreac,ABC
Anderston,AND
Annan,ANN
Anniesland,ANL
Arbroath,ARB
Ardgay,ARD
Ardlui,AUI
Ardrossan Harbour,ADS
Ardrossan South Beach,ASB
Ardrossan Town,ADN
Argyle Street,AGS
Arisaig,ARG
Armadale,ARM
Arrochar and Tarbet,ART
Ashfield,ASF
Attadale,ATT
Auchinleck,AUK
Aviemore,AVM
Ayr,AYR
Baillieston,BIO
Balloch,BHC
Balmossie,BSI
Banavie,BNV
Barassie,BSS
Bargeddie,BGI
Barnhill,BNL
Barrhead,BRR
Barrhill,BRL
Barry Links,BYL
Bathgate,BHG
Bearsden,BRN
Beasdale,BSL
Beauly,BEL
Bellgrove,BLG
Bellshill,BLH
Bishopbriggs,BBG
Bishopton,BPT
Blackridge,BKR
Blair Atholl,BLA
Blairhill,BAI
Blantyre,BLT
Bogston,BGS
Bowling,BWG
Branchton,BCN
Breich,BRC
Bridge Of Allan,BEA
Bridge Of Orchy,BRO
Bridgeton,BDG
Brora,BRA
Broughty Ferry,BYF
Brunstane,BSU
Burnside,BUI
Burntisland,BTS
Busby,BUS
Caldercruix,CAC
Cambuslang,CBL
Camelon,CMO
Cardenden,CDD
Cardonald,CDO
Cardross,CDR
Carfin,CRF
Carluke,CLU
Carmyle,CML
Carnoustie,CAN
Carntyne,CAY
Carrbridge,CAG
Carstairs,CRS
Cartsdyke,CDY
Cathcart,CCT
Charing Cross (Glasgow),CHC
Chatelherault,CTE
Clarkston,CKS
Cleland,CEA
Clydebank,CYK
Coatbridge Central,CBC
Coatbridge Sunnyside,CBS
Coatdyke,COA
Connel Ferry,CON
Conon Bridge,CBD
Corkerhill Glasgow,CKH
Corpach,CPA
Corrour,CRR
Cowdenbeath,COW
Craigendoran,CGD
Crianlarich,CNR
Croftfoot,CFF
Crookston Glasgow,CKT
Crosshill,COI
Crossmyloof,CMY
Croy,CRO
Culrain,CUA
Cumbernauld,CUB
Cupar,CUP
Curriehill,CUH
Dalgety Bay,DAG
Dalmally,DAL
Dalmarnock,DAK
Dalmeny,DAM
Dalmuir,DMR
Dalreoch,DLR
Dalry,DLY
Dalwhinnie,DLW
Dingwall,DIN
Drem,DRM
Drumchapel,DMC
Drumfrochar,DFR
Drumgelloch,DRU
Drumry,DMY
Duirinish,DRN
Duke Street,DST
Dumbarton Central,DBC
Dumbarton East,DBE
Dumbreck,DUM
Dumfries,DMF
Dunbar,DUN
Dunblane,DBL
Duncraig,DCG
Dundee,DEE
Dunfermline,DFL
Dunfermline Queen Margaret,DFE
Dunkeld and Birnam,DKD
Dunlop,DNL
Dunrobin Castle,DNO
Dyce,DYC
East Kilbride,EKL
Easterhouse,EST
Edinburgh Gateway,EGY
Edinburgh Park,EDP
Elgin,ELG
Eskbank,EKB
Exhibition Centre Glasgow,EXG
Exhibition Center Glasgow,EXG
Fairlie,FRL
Falkirk Grahamston,FKG
Falkirk High,FKK
Falls Of Cruachan,FOC
Fauldhouse,FLD
Fearn,FRN
Forres,FOR
Forsinard,FRS
Fort Matilda,FTM
Fort William,FTW
Galashiels,GAL
Garelochhead,GCH
Garrowhill,GAR
Garscadden,GRS
Gartcosh,GRH
Garve,GVE
Georgemas Junction,GGJ
Giffnock,GFN
Gilshochill,GSC
Girvan,GIR
Glasgow Queen Street,GLQ
Gleneagles,GLE
Glenfinnan,GLF
Glengarnock,GLG
Glenrothes with Thornton,GLT
Golf Street,GOF
Golspie,GOL
Gorebridge,GBG
